,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
55,20,RL,100.0,10175.0,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964.0,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,490.0,Unf,0,935.0,1425.0,GasA,Gd,Y,SBrkr,1425.0,0.0,0,1425.0,0,0,2,0,3,1,TA,7,Typ,1,Gd,Attchd,1964.0,RFn,2,576.0,TA,TA,Y,0.0,0.0,0,407,0,0,Missing,Missing,0,7,2008,WD,Normal,180500
1443,30,RL,70.0,8854.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,6,6,1916.0,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0,952.0,952.0,Grav,Fa,N,FuseF,952.0,0.0,0,952.0,0,0,1,0,2,1,Fa,4,Typ,1,Gd,Detchd,1916.0,Unf,1,192.0,Fa,Po,P,0.0,98.0,0,0,40,0,Missing,Missing,0,5,2009,WD,Normal,121000
213,20,RL,43.0,13568.0,Pave,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1995.0,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,716.0,Unf,0,274.0,990.0,GasA,Ex,Y,SBrkr,990.0,0.0,0,990.0,0,1,1,0,3,1,TA,5,Typ,0,Missing,Attchd,1996.0,Unf,2,576.0,TA,TA,Y,224.0,0.0,0,0,0,0,Missing,Missing,0,7,2006,WD,Normal,156000
120,80,RL,70.0,21453.0,Pave,Grvl,IR1,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,SLvl,6,5,1969.0,1969,Flat,Metal,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,Gd,ALQ,938.0,Unf,0,0.0,938.0,GasA,Ex,Y,SBrkr,988.0,0.0,0,988.0,1,0,1,0,1,1,TA,4,Typ,2,TA,Attchd,1969.0,Unf,2,540.0,TA,TA,Y,0.0,130.0,0,130,0,0,Missing,Missing,0,10,2006,WD,Normal,180000
1206,20,RH,70.0,8900.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,4,4,1966.0,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1056.0,Unf,0,0.0,1056.0,GasA,TA,Y,SBrkr,1056.0,0.0,0,1056.0,1,0,1,0,2,1,TA,5,Typ,0,Missing,Detchd,1966.0,Unf,1,384.0,TA,TA,Y,0.0,42.0,0,0,0,0,MnPrv,Missing,0,11,2006,WD,Normal,107000
1388,20,RL,42.0,14892.0,Pave,Pave,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,1Story,9,5,2006.0,2007,Gable,CompShg,VinylSd,VinylSd,Stone,160.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1320.0,Unf,0,426.0,1746.0,GasA,Ex,Y,SBrkr,1746.0,0.0,0,1746.0,1,0,2,0,3,1,Ex,7,Typ,2,Gd,Attchd,2006.0,Fin,3,758.0,TA,TA,Y,201.0,39.0,0,0,0,0,Missing,Missing,0,10,2009,WD,Normal,377500
72,60,RL,74.0,10141.0,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998.0,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,40.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,832.0,832.0,GasA,Gd,Y,SBrkr,885.0,833.0,0,1718.0,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1998.0,Fin,2,427.0,TA,TA,Y,0.0,94.0,0,0,291,0,Missing,Missing,0,12,2009,WD,Normal,185000
743,80,RL,70.0,12886.0,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,5,6,1963.0,1999,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,444.0,Unf,0,76.0,520.0,GasA,Ex,Y,SBrkr,1464.0,0.0,0,1464.0,0,1,2,0,3,1,TA,6,Min2,1,TA,Attchd,1997.0,RFn,2,480.0,TA,TA,Y,302.0,0.0,0,0,100,0,Missing,Missing,0,10,2009,WD,Normal,175000
1188,60,RL,68.0,8935.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2002.0,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,95.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,831.0,831.0,GasA,Ex,Y,SBrkr,831.0,829.0,0,1660.0,0,0,2,1,3,1,Gd,7,Typ,0,Missing,Attchd,2002.0,RFn,2,493.0,TA,TA,Y,144.0,68.0,0,0,0,0,Missing,Missing,0,7,2009,WD,Normal,195000
45,120,RL,61.0,7658.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005.0,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456.0,Unf,0,1296.0,1752.0,GasA,Ex,Y,SBrkr,1752.0,0.0,0,1752.0,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2,576.0,TA,TA,Y,196.0,82.0,0,0,0,0,Missing,Missing,0,2,2010,WD,Normal,319900
1230,90,RL,70.0,18890.0,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,RRAe,Duplex,1.5Fin,5,5,1977.0,1977,Shed,CompShg,Plywood,Plywood,None,1.0,TA,TA,CBlock,Gd,TA,No,GLQ,498.0,Rec,211,652.0,1361.0,GasA,Ex,Y,SBrkr,1361.0,1259.0,0,2620.0,0,0,2,2,4,2,TA,12,Typ,1,TA,BuiltIn,1977.0,RFn,2,600.0,TA,TA,N,155.0,24.0,145,0,0,0,Missing,Gar2,8300,8,2007,WD,Normal,190000
523,60,RL,130.0,23830.5,Pave,Grvl,IR1,Bnk,AllPub,Inside,Gtl,Edwards,PosN,PosN,1Fam,2Story,10,5,2007.0,2008,Hip,CompShg,CemntBd,CmentBd,Stone,762.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,2260.0,Unf,0,878.0,2805.0,GasA,Ex,Y,SBrkr,2904.0,1538.0,0,3718.25,1,0,3,1,3,1,Ex,11,Typ,1,Gd,BuiltIn,2007.0,Fin,3,884.0,TA,TA,Y,208.0,295.0,0,0,0,0,Missing,Missing,0,10,2007,New,Partial,184750
826,45,RM,50.0,6130.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,5,6,1924.0,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,ALQ,784.0,Unf,0,0.0,784.0,GasA,Gd,Y,SBrkr,784.0,0.0,0,784.0,1,0,1,0,2,1,Gd,5,Typ,0,Missing,Missing,2020.0,Missing,0,0.0,Missing,Missing,Y,0.0,0.0,116,0,0,0,Missing,Missing,0,5,2008,WD,Normal,109500
867,20,RL,85.0,6970.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,4,5,1961.0,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,932.0,Unf,0,108.0,1040.0,GasA,TA,Y,SBrkr,1120.0,0.0,0,1120.0,1,0,1,1,3,1,Fa,5,Typ,0,Missing,Attchd,1961.0,RFn,2,544.0,TA,TA,Y,168.0,0.0,0,0,0,0,Missing,Shed,400,5,2007,WD,Normal,129000
1199,20,RL,75.0,11235.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,4,5,1963.0,1979,Gable,CompShg,HdBoard,HdBoard,BrkFace,51.0,TA,TA,CBlock,TA,TA,No,Rec,547.0,Unf,0,504.0,1051.0,GasA,Gd,Y,SBrkr,1382.0,0.0,0,1382.0,0,0,1,1,3,1,TA,6,Typ,1,Po,Attchd,1974.0,Unf,2,459.0,TA,TA,Y,0.0,82.0,0,0,0,0,Missing,Missing,0,10,2006,WD,Normal,148000
757,60,RL,70.0,11616.0,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,5,1978.0,1978,Hip,CompShg,HdBoard,HdBoard,BrkCmn,328.0,TA,TA,CBlock,TA,TA,Mn,Rec,438.0,Unf,0,234.0,672.0,GasA,TA,Y,SBrkr,672.0,714.0,0,1386.0,0,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1978.0,Fin,2,440.0,TA,TA,Y,335.0,0.0,0,0,0,0,GdPrv,Missing,0,4,2010,WD,Abnorml,158900
533,20,RL,50.0,5000.0,Pave,Pave,Reg,Low,AllPub,Inside,Mod,BrkSide,Norm,Norm,1Fam,1Story,1,3,1946.0,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,Fa,Fa,Slab,Missing,Missing,Missing,Missing,0.0,Missing,0,0.0,0.0,GasA,Fa,N,FuseF,334.0,0.0,0,334.0,0,0,1,0,1,1,Fa,2,Typ,0,Missing,Missing,2020.0,Missing,0,0.0,Missing,Missing,N,0.0,0.0,0,0,0,0,Missing,Missing,0,1,2007,WD,Normal,39300
603,160,FV,30.0,3182.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004.0,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,600.0,600.0,GasA,Ex,Y,SBrkr,600.0,600.0,0,1200.0,0,0,2,1,2,1,Gd,4,Typ,0,Missing,Detchd,2004.0,RFn,2,480.0,TA,TA,Y,0.0,172.0,0,0,0,0,Missing,Missing,0,6,2010,WD,Normal,151000
465,120,RM,70.0,3072.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2004.0,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,18.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,1375.0,1375.0,GasA,Ex,Y,SBrkr,1414.0,0.0,0,1414.0,0,0,2,0,2,1,Gd,6,Typ,1,TA,Attchd,2004.0,Fin,2,398.0,TA,TA,Y,144.0,20.0,0,0,0,0,Missing,Missing,0,5,2006,WD,Normal,178740
1391,90,RL,65.0,8944.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,5,1967.0,1967,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0,1584.0,1584.0,GasA,TA,Y,SBrkr,1584.0,0.0,0,1584.0,0,0,2,0,4,2,TA,8,Mod,0,Missing,Detchd,1967.0,Unf,3,792.0,TA,TA,Y,0.0,152.0,0,0,0,0,Missing,Missing,0,4,2009,WD,Normal,124000
1244,70,RL,70.0,11435.0,Pave,Grvl,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929.0,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,792.0,792.0,GasA,Fa,Y,SBrkr,792.0,725.0,0,1517.0,0,0,1,0,3,1,Gd,7,Typ,2,Gd,Detchd,1931.0,Unf,2,400.0,TA,TA,Y,0.0,0.0,0,0,0,0,Missing,Missing,0,6,2006,WD,Normal,230000
1080,20,RL,80.0,11040.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1971.0,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,144.0,Gd,Gd,CBlock,TA,TA,No,ALQ,656.0,Unf,0,602.0,1258.0,GasA,Ex,Y,SBrkr,1258.0,0.0,0,1258.0,0,1,2,0,3,1,Gd,5,Typ,0,Missing,Attchd,1971.0,RFn,2,528.0,TA,TA,Y,55.0,0.0,0,216,0,0,Missing,Missing,0,10,2008,COD,Abnorml,145000
904,20,RL,70.0,6173.0,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1967.0,1967,Gable,CompShg,HdBoard,Wd Sdng,BrkFace,75.0,TA,TA,CBlock,TA,TA,No,GLQ,599.0,Unf,0,277.0,876.0,GasA,TA,Y,SBrkr,902.0,0.0,0,902.0,0,0,1,0,3,1,TA,6,Typ,0,Missing,Attchd,1967.0,Unf,1,288.0,TA,TA,Y,0.0,0.0,0,0,0,0,MnPrv,Missing,0,8,2007,WD,Normal,125500
60,20,RL,63.0,13072.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004.0,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,941.0,Unf,0,217.0,1158.0,GasA,Ex,Y,SBrkr,1158.0,0.0,0,1158.0,1,0,1,1,3,1,Gd,5,Typ,0,Missing,Detchd,2006.0,Unf,2,576.0,TA,TA,Y,0.0,50.0,0,0,0,0,Missing,Missing,0,5,2006,New,Partial,158000
92,30,RL,80.0,13360.0,Pave,Grvl,IR1,HLS,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,7,1921.0,2006,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,BrkTil,Gd,TA,No,ALQ,713.0,Unf,0,163.0,876.0,GasA,Ex,Y,SBrkr,964.0,0.0,0,964.0,1,0,1,0,2,1,TA,5,Typ,0,Missing,Detchd,1921.0,Unf,2,432.0,TA,TA,Y,0.0,0.0,44,0,0,0,Missing,Missing,0,8,2009,WD,Normal,163500
666,60,RL,70.0,18450.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,2Story,6,5,1965.0,1979,Flat,Tar&Grv,Plywood,Plywood,BrkCmn,113.0,TA,Gd,CBlock,Gd,TA,No,LwQ,187.0,Rec,723,111.0,1021.0,GasA,TA,Y,SBrkr,1465.0,915.0,0,2380.0,0,0,2,1,3,1,TA,7,Sev,1,Po,CarPort,1965.0,Unf,2,596.0,TA,TA,Y,0.0,265.0,0,0,0,0,Missing,Missing,0,8,2007,WD,Abnorml,129000
727,20,RL,64.0,7314.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007.0,2007,Gable,CompShg,VinylSd,VinylSd,Stone,82.0,Gd,TA,PConc,Gd,TA,Av,GLQ,724.0,Unf,0,508.0,1232.0,GasA,Ex,Y,SBrkr,1232.0,0.0,0,1232.0,1,0,2,0,2,1,Gd,6,Typ,0,Missing,Attchd,2007.0,RFn,2,632.0,TA,TA,Y,132.0,0.0,0,0,0,0,Missing,Missing,0,2,2009,WD,Normal,194500
194,20,RL,60.0,7180.0,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972.0,1972,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,390.0,Unf,0,474.0,864.0,GasA,TA,Y,SBrkr,864.0,0.0,0,864.0,0,0,1,0,3,1,TA,5,Typ,0,Missing,Detchd,1989.0,Unf,1,352.0,TA,TA,Y,0.0,0.0,0,0,0,0,Missing,Missing,0,5,2008,WD,Normal,127000
280,60,RL,82.0,11287.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,6,1989.0,1989,Gable,CompShg,Plywood,Plywood,BrkFace,340.0,Gd,TA,CBlock,Gd,TA,Av,GLQ,421.0,Unf,0,386.0,807.0,GasA,Gd,Y,SBrkr,1175.0,807.0,0,1982.0,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1989.0,Fin,2,575.0,TA,TA,Y,0.0,84.0,0,196,0,0,Missing,Missing,0,1,2007,WD,Normal,228500
359,60,RL,78.0,12011.0,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998.0,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,530.0,Gd,TA,PConc,Gd,TA,Av,GLQ,956.0,Unf,0,130.0,1086.0,GasA,Ex,Y,SBrkr,1086.0,838.0,0,1924.0,1,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1998.0,RFn,2,592.0,TA,TA,Y,208.0,75.0,0,0,374,0,Missing,Missing,0,6,2006,WD,Normal,280000
519,70,RL,53.0,10918.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,9,1926.0,2004,Gambrel,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,BrkTil,Gd,TA,No,Unf,0.0,Unf,0,1276.0,1276.0,GasA,Ex,Y,SBrkr,1276.0,804.0,0,2080.0,0,0,1,1,3,1,Gd,9,Typ,2,Gd,Detchd,1926.0,Unf,1,282.0,TA,TA,Y,0.0,0.0,0,0,145,0,MnPrv,Missing,0,6,2009,WD,Normal,234000
1455,60,RL,62.0,7917.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1999.0,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,953.0,953.0,GasA,Ex,Y,SBrkr,953.0,694.0,0,1647.0,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1999.0,RFn,2,460.0,TA,TA,Y,0.0,40.0,0,0,0,0,Missing,Missing,0,8,2007,WD,Normal,175000
923,120,RL,50.0,8012.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1993.0,1994,Gable,CompShg,Plywood,Plywood,None,0.0,Gd,TA,PConc,Gd,TA,No,LwQ,165.0,GLQ,841,598.0,1604.0,GasA,Ex,Y,SBrkr,1617.0,0.0,0,1617.0,1,0,2,0,2,1,Gd,5,Typ,1,Fa,Attchd,1993.0,RFn,2,533.0,TA,TA,Y,0.0,69.0,0,0,0,0,Missing,Missing,0,7,2008,WD,Normal,193000
182,20,RL,60.0,9060.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1Story,5,6,1957.0,2006,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,98.0,TA,TA,PConc,Missing,Missing,Missing,Missing,0.0,Missing,0,0.0,0.0,GasA,Ex,Y,SBrkr,1340.0,0.0,0,1340.0,0,0,1,0,3,1,TA,7,Typ,1,Gd,Attchd,1957.0,RFn,1,252.0,TA,TA,Y,116.0,0.0,0,180,0,0,MnPrv,Missing,0,6,2007,WD,Normal,120000
987,20,RL,83.0,10159.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009.0,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450.0,Ex,TA,PConc,Ex,TA,Av,GLQ,1646.0,Unf,0,284.0,1930.0,GasA,Ex,Y,SBrkr,1940.0,0.0,0,1940.0,1,0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,2010.0,Fin,3,606.0,TA,TA,Y,168.0,95.0,0,0,0,0,Missing,Missing,0,4,2010,New,Partial,395192
110,50,RL,75.0,9525.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,1954.0,1972,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,Fa,No,Rec,444.0,Unf,0,550.0,994.0,GasA,Gd,Y,SBrkr,1216.0,639.0,0,1855.0,0,0,2,0,4,1,TA,7,Typ,0,Missing,Attchd,1954.0,Unf,1,325.0,TA,TA,Y,182.0,0.0,0,0,0,0,Missing,Missing,0,10,2006,WD,Normal,136900
42,85,RL,70.0,9180.0,Pave,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983.0,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747.0,LwQ,93,0.0,840.0,GasA,Gd,Y,SBrkr,884.0,0.0,0,884.0,1,0,1,0,2,1,Gd,5,Typ,0,Missing,Attchd,1983.0,RFn,2,504.0,TA,Gd,Y,240.0,0.0,0,0,0,0,MnPrv,Missing,0,12,2007,WD,Normal,144000
1236,160,RL,36.0,2628.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003.0,2003,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,764.0,764.0,GasA,Ex,Y,SBrkr,764.0,862.0,0,1626.0,0,0,2,1,2,1,Gd,6,Typ,0,Missing,BuiltIn,2003.0,RFn,2,474.0,TA,TA,Y,0.0,27.0,0,0,0,0,Missing,Missing,0,6,2010,WD,Normal,175500
204,50,RM,50.0,3500.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1947.0,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,312.0,Unf,0,408.0,720.0,GasA,TA,Y,SBrkr,720.0,564.0,0,1284.0,0,0,1,1,2,1,TA,5,Typ,0,Missing,Detchd,1948.0,Unf,1,240.0,TA,TA,Y,0.0,35.0,0,0,0,0,MnWw,Missing,0,4,2009,WD,Normal,110000
983,60,RL,70.0,11250.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2002.0,2002,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,Mn,Unf,0.0,Unf,0,1128.0,1128.0,GasA,Ex,Y,SBrkr,1149.0,1141.0,0,2290.0,0,0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,2002.0,Unf,2,779.0,TA,TA,Y,0.0,0.0,0,0,0,0,Missing,Missing,0,5,2008,WD,Normal,255900
52,90,RM,110.0,8472.0,Grvl,Grvl,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963.0,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104.0,GLQ,712,0.0,816.0,GasA,TA,N,SBrkr,816.0,0.0,0,816.0,1,0,1,0,2,1,TA,5,Typ,0,Missing,CarPort,1963.0,Unf,2,516.0,TA,TA,Y,106.0,0.0,0,0,0,0,Missing,Missing,0,5,2010,WD,Normal,110000
545,50,RL,70.0,13837.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1.5Fin,7,5,1988.0,1988,Gable,CompShg,HdBoard,HdBoard,BrkFace,178.0,Gd,Gd,PConc,Gd,Gd,No,GLQ,1002.0,LwQ,202,0.0,1204.0,GasA,Gd,Y,SBrkr,1377.0,806.0,0,2183.0,0,0,2,1,4,1,Gd,9,Typ,0,Missing,Attchd,1988.0,Unf,3,786.0,TA,TA,Y,0.0,0.0,0,0,0,0,Missing,Missing,0,2,2006,WD,Normal,229000
945,50,RM,98.0,8820.0,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,6,1890.0,1996,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,BrkTil,TA,TA,No,LwQ,1088.0,Unf,0,0.0,1088.0,GasA,TA,Y,SBrkr,1188.0,561.0,120,1869.0,0,0,1,0,2,1,TA,7,Typ,0,Missing,Detchd,1963.0,Unf,2,456.0,TA,TA,Y,48.0,0.0,244,0,0,0,MnWw,Missing,0,9,2009,WD,Normal,124900
852,75,RL,53.0,7128.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2.5Unf,7,5,1941.0,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Rec,364.0,Unf,0,554.0,918.0,GasA,Gd,Y,SBrkr,918.0,728.0,0,1646.0,0,0,2,0,4,1,TA,7,Typ,2,Gd,Detchd,1941.0,Unf,1,240.0,TA,TA,Y,0.0,0.0,0,0,126,0,MnPrv,Missing,0,8,2007,WD,Normal,164000
1413,20,RL,88.0,10994.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1Story,8,5,2005.0,2006,Gable,CompShg,VinylSd,VinylSd,Stone,366.0,Gd,TA,PConc,Gd,Gd,No,GLQ,976.0,Unf,0,868.0,1844.0,GasA,Ex,Y,SBrkr,1844.0,0.0,0,1844.0,1,0,2,0,2,1,Gd,7,Typ,1,Gd,Attchd,2005.0,Fin,2,620.0,TA,TA,Y,165.0,44.0,0,0,0,0,Missing,Missing,0,9,2009,COD,Abnorml,257000
1375,20,RL,89.0,10991.0,Pave,Grvl,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007.0,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0.0,Unf,0,1571.0,1571.0,GasA,Ex,Y,SBrkr,1571.0,0.0,0,1571.0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,Fin,3,722.0,TA,TA,Y,100.0,36.0,0,0,0,0,Missing,Missing,0,12,2007,New,Partial,239000
